Diversion Category,Category,Material,SubMaterial,SubSub,subsubsub
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,#1 PET Thermoforms,#1 PET Other Color,
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,Tubs/Lids Excluding #6 Polystyrene,#5 PP Rigid,
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,Tubs/Lids Excluding #6 Polystyrene,Unlabeled Resin,
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,#6 Rigid Polystyrene Containers/Packaging,,
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,Other Rigid Containers/Packaging,#5 PP Rigid,
Designated MGP,Plastic,Rigid Plastic Containers/Packaging,Other Rigid Containers/Packaging,Unlabeled Resin,
Designated MGP,Plastic,Bottles,#1 PET,Clear/Green Bottles,
Designated MGP,Plastic,Bottles,#1 PET,Other Color Bottles,
Designated MGP,Plastic,Bottles,#2 HDPE ,Natural Bottles,
Designated MGP,Plastic,Bottles,#2 HDPE ,Pigmented Bottles,
Designated MGP,Plastic,Bottles,#5 PP Rigid Bottles,,
Designated Paper,Paper,Newspaper,,,
Designated Paper,Paper,Plain OCC/Kraft Paper,,,
Designated Paper,Paper,High Grade Paper,,,
Designated Paper,Paper,Mixed Low Grade Paper,,,
